,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
119323,Eri Kimura,18.0,160.0,50.0,JPN,1992,Barcelona,Swimming,Swimming Women's 400 metres Individual Medley,no medal,1,1
119353,Toyoko Kimura,18.0,166.0,66.0,JPN,1964,Tokyo,Swimming,Swimming Women's 100 metres Freestyle,no medal,1,1
119354,Toyoko Kimura,18.0,166.0,66.0,JPN,1964,Tokyo,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,no medal,1,1
119409,Gabriella Kindl,16.0,166.0,54.0,HUN,1980,Moskva,Swimming,Swimming Women's 100 metres Breaststroke,no medal,1,1
119410,Gabriella Kindl,16.0,166.0,54.0,HUN,1980,Moskva,Swimming,Swimming Women's 200 metres Breaststroke,no medal,1,1
119464,"Ellen Elizabeth King (-McPhearson, -Pearson)",15.0,171.87765957446808,61.76282051282051,GBR,1924,Paris,Swimming,Swimming Women's 100 metres Backstroke,no medal,2,1
119465,"Ellen Elizabeth King (-McPhearson, -Pearson)",19.0,172.8904109589041,62.60313174946004,GBR,1928,Amsterdam,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,2,2
119466,"Ellen Elizabeth King (-McPhearson, -Pearson)",19.0,171.87765957446808,61.76282051282051,GBR,1928,Amsterdam,Swimming,Swimming Women's 100 metres Backstroke,Silver,2,2
119479,Jaime Anne King,15.0,168.0,55.0,GBR,1992,Barcelona,Swimming,Swimming Women's 100 metres Breaststroke,no medal,3,1
119480,Jaime Anne King,15.0,168.0,55.0,GBR,1992,Barcelona,Swimming,Swimming Women's 200 metres Breaststroke,no medal,3,1
119481,Jaime Anne King,19.0,168.0,55.0,GBR,1996,Atlanta,Swimming,Swimming Women's 100 metres Breaststroke,no medal,3,2
119482,Jaime Anne King,19.0,168.0,55.0,GBR,1996,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,no medal,3,2
119483,Jaime Anne King,23.0,168.0,55.0,GBR,2000,Sydney,Swimming,Swimming Women's 200 metres Breaststroke,no medal,3,3
119499,Lilly King,19.0,175.0,70.0,USA,2016,Rio de Janeiro,Swimming,Swimming Women's 100 metres Breaststroke,Gold,1,1
119500,Lilly King,19.0,175.0,70.0,USA,2016,Rio de Janeiro,Swimming,Swimming Women's 200 metres Breaststroke,no medal,1,1
119501,Lilly King,19.0,175.0,70.0,USA,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,1,1
119515,Savannah King,16.0,178.0,67.0,CAN,2008,Beijing,Swimming,Swimming Women's 400 metres Freestyle,no medal,2,1
119516,Savannah King,20.0,178.0,67.0,CAN,2012,London,Swimming,Swimming Women's 400 metres Freestyle,no medal,2,2
119517,Savannah King,20.0,178.0,67.0,CAN,2012,London,Swimming,Swimming Women's 800 metres Freestyle,no medal,2,2
119534,Vivian King (-Thompson),18.0,170.7595744680851,60.61899563318777,CAN,1948,London,Swimming,Swimming Women's 400 metres Freestyle,no medal,1,1
119535,Vivian King (-Thompson),18.0,172.8904109589041,62.60313174946004,CAN,1948,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,no medal,1,1
119574,Vera Kingston (-Robinson),19.0,169.89336016096578,60.55612244897959,GBR,1936,Berlin,Swimming,Swimming Women's 200 metres Breaststroke,no medal,1,1
119859,Julianne Kirchner,16.0,138.0,54.0,MHL,2008,Beijing,Swimming,Swimming Women's 50 metres Freestyle,no medal,1,1
119922,Dana Kirk,20.0,177.0,65.0,USA,2004,Athina,Swimming,Swimming Women's 200 metres Butterfly,no medal,1,1
119933,Tara Kirk,22.0,167.0,65.0,USA,2004,Athina,Swimming,Swimming Women's 100 metres Breaststroke,no medal,1,1
119934,Tara Kirk,22.0,167.0,65.0,USA,2004,Athina,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,1,1
120185,Annamria Kiss,14.0,173.0,55.0,HUN,1996,Atlanta,Swimming,Swimming Women's 100 metres Backstroke,no medal,2,1
120186,Annamria Kiss,18.0,173.0,55.0,HUN,2000,Sydney,Swimming,Swimming Women's 100 metres Backstroke,no medal,2,2
120187,Annamria Kiss,18.0,173.0,55.0,HUN,2000,Sydney,Swimming,Swimming Women's 200 metres Backstroke,no medal,2,2
120188,Annamria Kiss,18.0,173.0,55.0,HUN,2000,Sydney,Swimming,Swimming Women's 4 x 100 metres Medley Relay,no medal,2,2
120200,va Kiss,18.0,169.0,58.0,HUN,1972,Munich,Swimming,Swimming Women's 100 metres Breaststroke,no medal,1,1
120201,va Kiss,18.0,169.0,58.0,HUN,1972,Munich,Swimming,Swimming Women's 200 metres Breaststroke,no medal,1,1
120202,va Kiss,18.0,169.0,58.0,HUN,1972,Munich,Swimming,Swimming Women's 200 metres Individual Medley,no medal,1,1
120233,Judit Kiss,12.0,171.0,57.0,HUN,1992,Barcelona,Swimming,Swimming Women's 400 metres Freestyle,no medal,2,1
