,Name,Age,Height,Weight,NOC,Year,City,Medal,Times_Participated,Participation_Number
202808,Marrion Douglas Roe (-Beck),21.0,171.32436260623228,61.75478645066274,NZL,1956,Melbourne,no medal,1,1
203536,"Susan ""Sue"" Rolph",18.0,168.0,62.0,GBR,1996,Atlanta,no medal,2,1
203540,"Susan ""Sue"" Rolph",22.0,168.0,62.0,GBR,2000,Sydney,no medal,2,2
203948,Mary Beth Rondeau,15.0,167.0,51.0,CAN,1972,Munich,no medal,1,1
204218,Joan Ann Rosazza,19.0,170.0,59.0,USA,1956,Melbourne,no medal,1,1
204255,Gabrielle Elaine Franco Rose,18.0,173.0,63.0,BRA,1996,Atlanta,no medal,2,1
204340,"Margarete ""Grete"" Rosenberg (-Wildhagen)",15.0,171.32436260623228,61.75478645066274,GER,1912,Stockholm,no medal,1,1
206381,Angela Mary Russell (-Harris),17.0,178.0,60.0,AUS,1984,Los Angeles,no medal,1,1
206423,Kathleen Russell (-Barlow),15.0,171.32436260623228,61.75478645066274,RSA,1928,Amsterdam,no medal,1,1
206816,Sarah Michelle Ryan,19.0,173.0,65.0,AUS,1996,Atlanta,no medal,3,1
206820,Sarah Michelle Ryan,23.0,173.0,65.0,AUS,2000,Sydney,no medal,3,2
207072,Ryu Yun-Ji,18.0,168.0,54.0,KOR,2004,Athina,no medal,1,1
207442,Mara Sacchi,15.0,170.0,63.0,ITA,1964,Tokyo,no medal,1,1
207469,Virginia Sachero,23.0,183.0,71.0,ARG,1984,Los Angeles,no medal,1,1
207815,Zena Sahli,17.0,162.0,52.0,SEN,2000,Sydney,no medal,1,1
207956,Paola Saini,14.0,162.0,53.0,ITA,1960,Roma,no medal,2,1
207960,Paola Saini,19.0,162.0,53.0,ITA,1964,Tokyo,no medal,2,2
208138,Fumiko Sakaguchi,18.0,171.32436260623228,61.75478645066274,JPN,1952,Helsinki,no medal,1,1
208710,Minna Helena Salmela (-Haipus),21.0,177.0,61.0,FIN,1992,Barcelona,no medal,2,1
208713,Minna Helena Salmela (-Haipus),25.0,177.0,61.0,FIN,1996,Atlanta,no medal,2,2
210074,Sanjaajamtsyn Altantuyaa,24.0,176.0,70.0,MGL,2000,Sydney,no medal,1,1
210885,Kaori Sasaki,17.0,168.0,54.0,JPN,1988,Seoul,no medal,1,1
211186,Yoshiko Sato (-Osaki),18.0,159.0,55.0,JPN,1956,Melbourne,no medal,2,1
211188,Yoshiko Sato (-Osaki),22.0,159.0,55.0,JPN,1960,Roma,no medal,2,2
211823,Susana A. Saxlund Bardier,15.0,159.0,60.0,URU,1972,Munich,no medal,1,1
212133,Madeleine Scerri,18.0,176.0,74.0,MLT,2008,Beijing,no medal,1,1
212247,Vera Schferkordt,27.0,171.32436260623228,61.75478645066274,GER,1952,Helsinki,no medal,1,1
212661,Chantal Schertz,14.0,170.0,61.0,FRA,1972,Munich,no medal,2,1
212962,"Melanie Rene ""Mel"" Schlanger (-Wright)",25.0,176.0,65.0,AUS,2012,London,no medal,2,2
213511,Ingeborg Schmitz,14.0,171.32436260623228,61.75478645066274,GER,1936,Berlin,no medal,1,1
214101,Daniela Schreiber,23.0,184.0,67.0,GER,2012,London,no medal,1,1
214244,Frances Cowells Schroth,27.0,168.0,61.75478645066274,USA,1920,Antwerpen,Bronze,1,1
214442,Ana Mara Schultz Caputo,16.0,171.32436260623228,61.75478645066274,ARG,1952,Helsinki,no medal,1,1
214563,Rita Schumacher,27.0,177.0,69.0,GER,1964,Tokyo,no medal,1,1
215041,Ilaria Sciorelli,18.0,171.32436260623228,61.75478645066274,ITA,1992,Barcelona,no medal,1,1
215054, Eleonora Margarida Josephina Scmitt,16.0,171.32436260623228,61.75478645066274,BRA,1948,London,no medal,1,1
216187,Arlene Iradie Semeco Arismendi,20.0,175.0,63.0,VEN,2004,Athina,no medal,3,1
216189,Arlene Iradie Semeco Arismendi,24.0,175.0,63.0,VEN,2008,Beijing,no medal,3,2
216191,Arlene Iradie Semeco Arismendi,28.0,175.0,63.0,VEN,2012,London,no medal,3,3
216584,Hanna-Maria Seppl,15.0,174.0,59.0,FIN,2000,Sydney,no medal,5,1
216586,Hanna-Maria Seppl,19.0,174.0,59.0,FIN,2004,Athina,no medal,5,2
216589,Hanna-Maria Seppl,23.0,174.0,59.0,FIN,2008,Beijing,no medal,5,3
216592,Hanna-Maria Seppl,27.0,174.0,59.0,FIN,2012,London,no medal,5,4
217293,Aminath Shajan,22.0,157.0,50.0,MDV,2016,Rio de Janeiro,no medal,2,2
217302,Shannon Shakespeare,19.0,175.0,66.0,CAN,1996,Atlanta,no medal,2,1
217427,Shan Ying,17.0,172.0,67.0,CHN,1996,Atlanta,no medal,1,1
217443,Gwitha Ifwersen Shand (-Waghorn),19.0,165.0,61.75478645066274,NZL,1924,Paris,no medal,1,1
217807,Hanna (Anna-) Vyacheslavovna Shcherba-Lorgeril,22.0,172.0,62.0,BLR,2004,Athina,no medal,2,1
217907,Deirdre Sheehan,18.0,167.0,59.0,IRL,1976,Montreal,no medal,1,1
218053,Shen Bao-Ni,14.0,165.0,54.0,TPE,1968,Mexico City,no medal,1,1
218060,Shen Duo,19.0,180.0,72.0,CHN,2016,Rio de Janeiro,no medal,1,1
218167,Alison Sheppard,19.0,176.0,65.0,GBR,1992,Barcelona,no medal,5,2
218534,Setsuko Shimada,18.0,171.32436260623228,61.75478645066274,JPN,1956,Melbourne,no medal,1,1
218889,Irina Shlemova,20.0,170.0,58.0,UZB,2004,Athina,no medal,2,1
218890,Irina Shlemova,24.0,170.0,58.0,UZB,2008,Beijing,no medal,2,2
219339,Marilyn Alison Sidelsky (-Maze),16.0,165.0,63.0,ZIM,1964,Tokyo,no medal,1,1
219702,Helga Sigurardttir,23.0,171.32436260623228,61.75478645066274,ISL,1992,Barcelona,no medal,1,1
219748,Maarit Hannele Sihvonen (Vhsaari-),23.0,170.0,56.0,FIN,1984,Los Angeles,no medal,1,1
220489,Joan Christel Simms,17.0,170.0,68.0,PHI,2008,Beijing,no medal,1,1
220664,Marialaura Simonetto,20.0,166.0,53.0,ITA,2008,Beijing,no medal,1,1
220704,Nancy Joan Simons (-Peterson),18.0,171.32436260623228,61.75478645066274,USA,1956,Melbourne,no medal,1,1
221381,Supra Singhal,18.0,163.0,48.0,UGA,2000,Sydney,no medal,1,1
221559,Margit H. Sipos (-Manci),19.0,171.32436260623228,61.75478645066274,HUN,1928,Amsterdam,no medal,1,1
221849,Maria Johanna Sjberg,26.0,178.0,66.0,SWE,2004,Athina,no medal,3,3
221943,Sarah Frederica Sjstrm,18.0,182.0,76.0,SWE,2012,London,no medal,3,2
221949,Sarah Frederica Sjstrm,22.0,182.0,76.0,SWE,2016,Rio de Janeiro,Bronze,3,3
222005,Yelena Alekseyevna Skalinskaya,17.0,174.0,60.0,KAZ,2004,Athina,no medal,1,1
222986,Karen Slowing-Aceituno,15.0,164.0,55.0,GUA,1984,Los Angeles,no medal,1,1
223374,Amy Louise Smith,25.0,172.0,59.0,GBR,2012,London,no medal,1,1
225870,Mara Luisa Souza,18.0,165.0,55.0,MEX,1960,Roma,no medal,2,1
225893,Nina Sovinek,23.0,176.0,65.0,SLO,2008,Beijing,no medal,1,1
226049,Pia Srensen,21.0,170.0,62.0,DEN,1988,Seoul,no medal,1,1
226170,Metka Sparavec (-Fain),17.0,181.0,60.0,SLO,1996,Atlanta,no medal,1,1
226289,Annie Coupe Speirs (-Coombe),22.0,171.32436260623228,61.75478645066274,GBR,1912,Stockholm,no medal,1,1
226369,Denise Dowling Spencer (-Henderson),18.0,171.32436260623228,61.75478645066274,AUS,1948,London,no medal,1,1
228210,Irene Steer (-Nicholson),22.0,171.32436260623228,61.75478645066274,GBR,1912,Stockholm,no medal,1,1
228373,Britta Steffen,24.0,180.0,60.0,GER,2008,Beijing,Gold,4,3
228377,Britta Steffen,28.0,180.0,60.0,GER,2012,London,no medal,4,4
228413,Christel Steffin (-Schulz),16.0,166.0,70.0,GER,1956,Melbourne,no medal,2,1
228547,"Janette May ""Jenny"" Steinbeck (-Murray)",17.0,171.0,64.0,AUS,1968,Mexico City,no medal,1,1
228721,"Carolyn Lynne ""Carrie"" Steinseifer (-Bates)",16.0,167.0,57.0,USA,1984,Los Angeles,Gold,1,1
228924,"Marie Louise ""Marilee"" Stepan (-Wehmann)",17.0,171.32436260623228,61.75478645066274,USA,1952,Helsinki,no medal,1,1
228943,"Daryna Viktorivna ""Dar'ia"" Stepaniuk",18.0,174.0,62.0,UKR,2008,Beijing,no medal,3,1
