,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
19895,Emelie Anna Berggren,19.0,170.0,66.0,SWE,2002,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze,1,1
19923,"Belle Marlinde ""Bell"" Berghuis",28.0,166.0,63.0,NED,2014,Sochi,Snowboarding,Snowboarding Women's Boardercross,no medal,1,1
19924,Claire Bergin,25.0,168.0,68.0,IRL,2010,Vancouver,Bobsleigh,Bobsleigh Women's Two,no medal,1,1
19936,Eivor Johanna Matilda Berglund (-Eriksson),20.0,167.2341650671785,62.97674418604651,SWE,1956,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Women's Downhill,no medal,1,1
19937,Eivor Johanna Matilda Berglund (-Eriksson),20.0,166.35752688172042,61.264021887824896,SWE,1956,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,no medal,1,1
19938,Eivor Johanna Matilda Berglund (-Eriksson),20.0,167.17142857142858,61.881379310344826,SWE,1956,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Women's Slalom,no medal,1,1
20000,Monika Bergmann-Schmuderer,19.0,176.0,74.0,GER,1998,Nagano,Alpine Skiing,Alpine Skiing Women's Slalom,no medal,3,1
20001,Monika Bergmann-Schmuderer,19.0,176.0,74.0,GER,1998,Nagano,Alpine Skiing,Alpine Skiing Women's Combined,no medal,3,1
20002,Monika Bergmann-Schmuderer,23.0,176.0,74.0,GER,2002,Salt Lake City,Alpine Skiing,Alpine Skiing Women's Giant Slalom,no medal,3,2
20003,Monika Bergmann-Schmuderer,23.0,176.0,74.0,GER,2002,Salt Lake City,Alpine Skiing,Alpine Skiing Women's Slalom,no medal,3,2
20004,Monika Bergmann-Schmuderer,27.0,176.0,74.0,GER,2006,Torino,Alpine Skiing,Alpine Skiing Women's Slalom,no medal,3,3
20005,Monika Bergmann-Schmuderer,27.0,176.0,74.0,GER,2006,Torino,Alpine Skiing,Alpine Skiing Women's Combined,no medal,3,3
20047,Margit Anna Kristina Bergstrand,34.0,162.0,63.0,SWE,1998,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,no medal,2,1
20048,Margit Anna Kristina Bergstrand,38.0,162.0,63.0,SWE,2002,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze,2,2
20115,Enik Berkes,18.0,168.0,51.0,HUN,1994,Lillehammer,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
20171,Andre Bermond (Claret-Tournier-),22.0,167.2341650671785,62.97674418604651,FRA,1952,Oslo,Alpine Skiing,Alpine Skiing Women's Downhill,no medal,1,1
20172,Andre Bermond (Claret-Tournier-),22.0,166.35752688172042,61.264021887824896,FRA,1952,Oslo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,no medal,1,1
20173,Andre Bermond (Claret-Tournier-),22.0,167.17142857142858,61.881379310344826,FRA,1952,Oslo,Alpine Skiing,Alpine Skiing Women's Slalom,no medal,1,1
20248,Charlotte Bernard,25.0,164.0,52.0,FRA,1998,Nagano,Snowboarding,Snowboarding Women's Giant Slalom,no medal,1,1
20249,Cheryl Bernard (Kullman-),43.0,163.0,55.0,CAN,2010,Vancouver,Curling,Curling Women's Curling,Silver,1,1
20269,Linda Christine Bernard,17.0,150.0,51.0,GBR,1968,Grenoble,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
20375,Margit Bernhardt (Dring-),19.322222222222223,161.31335149863762,51.11940298507463,GER,1928,Sankt Moritz,Figure Skating,Figure Skating Women's Singles,no medal,1,1
20401,Hedda Helene Berntsen,25.0,167.0,62.0,NOR,2002,Salt Lake City,Alpine Skiing,Alpine Skiing Women's Slalom,no medal,2,1
