,Name,Age,Height,Weight,NOC,Year,City,Medal,Times_Participated,Participation_Number
248528,Carlos van der Maath,18.0,187.0,89.0,ARG,1964,Tokyo,no medal,2,1
248532,Carlos van der Maath,22.0,187.0,89.0,ARG,1968,Mexico City,no medal,2,2
248839,"Hendrik ""Henk"" van Essen",19.0,185.30803571428572,79.37983587338805,NED,1928,Amsterdam,no medal,1,1
249450,Martial Albert Fowler Van Schelle,20.0,170.0,79.37983587338805,BEL,1920,Antwerpen,no medal,4,1
249452,Martial Albert Fowler Van Schelle,28.0,170.0,79.37983587338805,BEL,1928,Amsterdam,no medal,4,3
249478,Jean Baptiste van Silfhout,18.0,185.30803571428572,79.37983587338805,NED,1920,Antwerpen,no medal,3,1
249719,Michel Vandamme,22.0,185.30803571428572,79.37983587338805,FRA,1952,Helsinki,no medal,1,1
249961,douard Vanzeveren,19.0,185.30803571428572,79.37983587338805,FRA,1924,Paris,no medal,1,1
250247,Kalle Petteri Varonen,22.0,191.0,81.5,FIN,1996,Atlanta,no medal,1,1
250386,Yulyan Vasilev,18.0,188.0,84.0,BUL,1980,Moskva,no medal,1,1
250423,Dionysios Vasilopoulos,21.505691056910567,185.30803571428572,79.37983587338805,GRE,1924,Paris,no medal,2,2
251262,Tiago Andr Ferro Venncio,17.0,192.0,81.0,POR,2004,Athina,no medal,3,1
251263,Tiago Andr Ferro Venncio,21.0,192.0,81.0,POR,2008,Beijing,no medal,3,2
251448,Herman Verbauwen,24.0,180.0,70.0,BEL,1968,Mexico City,no medal,3,3
251460,Marc Verbeeck,23.0,190.0,84.0,BEL,1992,Barcelona,no medal,1,1
251745,Martin Verner,28.0,194.0,90.0,CZE,2008,Beijing,no medal,2,1
251746,Martin Verner,32.0,194.0,90.0,CZE,2012,London,no medal,2,2
251808,George Edward Vernot,19.0,152.0,90.0,CAN,1920,Antwerpen,no medal,2,1
251856,Gianni Versari,18.0,185.30803571428572,79.37983587338805,PAN,1976,Montreal,no medal,1,1
251868,Sebastiaan Clemens Verschuren,23.0,192.0,84.0,NED,2012,London,no medal,2,1
251871,Sebastiaan Clemens Verschuren,27.0,192.0,84.0,NED,2016,Rio de Janeiro,no medal,2,2
251934,"Cornelis ""Cees"" Vervoorn",20.0,191.0,83.0,NED,1980,Moskva,no medal,3,2
252562,Gilles Vigne,22.0,179.0,79.0,FRA,1972,Munich,no medal,1,1
252643,Paulius Viktoraviius,23.0,193.0,95.0,LTU,2008,Beijing,no medal,2,2
252690,Salvador Antonio Vilanova,15.0,176.0,68.0,ESA,1968,Mexico City,no medal,2,1
252695,Salvador Antonio Vilanova,19.0,176.0,68.0,ESA,1972,Munich,no medal,2,2
252896,Manoel da Rocha Villar,19.0,185.30803571428572,79.37983587338805,BRA,1932,Los Angeles,no medal,2,1
253045,Bradley Vincent,24.0,195.0,89.0,MRI,2016,Rio de Janeiro,no medal,1,1
253274,Lorenzo Vismara,25.0,198.0,90.0,ITA,2000,Sydney,no medal,2,1
253277,Lorenzo Vismara,29.0,198.0,90.0,ITA,2004,Athina,no medal,2,2
253681,Paul Voell,21.0,190.0,88.0,GER,1956,Melbourne,no medal,2,1
253682,Paul Voell,25.0,190.0,88.0,GER,1960,Roma,no medal,2,2
253910,Ramn Volcan,20.0,185.30803571428572,79.37983587338805,VEN,1976,Montreal,no medal,1,1
253931,Stfan Volry,18.0,194.0,90.0,SUI,1980,Moskva,no medal,4,1
253933,Stfan Volry,22.0,194.0,90.0,SUI,1984,Los Angeles,no medal,4,2
253937,Stfan Volry,27.0,194.0,90.0,SUI,1988,Seoul,no medal,4,3
253941,Stfan Volry,30.0,194.0,90.0,SUI,1992,Barcelona,no medal,4,4
254348,Zoltn Imre dn von Halmay,24.0,187.0,83.0,HUN,1906,Athina,Silver,4,3
254350,Zoltn Imre dn von Halmay,26.0,187.0,83.0,HUN,1908,London,Silver,4,4
254419,Herbert von Kuhlberg,18.0,185.30803571428572,79.37983587338805,RUS,1912,Stockholm,no medal,1,1
255477,Ren Wagner,22.0,182.0,84.0,LUX,1960,Roma,no medal,1,1
255900,Neil Scott Walker,24.0,195.0,90.0,USA,2000,Sydney,no medal,2,1
256174,"Kenneth Marshall ""Ken"" Walsh",23.0,188.0,84.0,USA,1968,Mexico City,Silver,1,1
256197,Glen Walshaw,24.0,188.0,88.0,ZIM,2000,Sydney,no medal,1,1
256386,Wan Shiu Ming,21.505691056910567,185.30803571428572,79.37983587338805,HKG,1956,Melbourne,no medal,1,1
256951,Andrs Wani,21.0,185.0,79.37983587338805,HUN,1932,Los Angeles,no medal,2,2
256953,Roger Rezs Wani,20.0,185.30803571428572,79.37983587338805,HUN,1928,Amsterdam,no medal,1,1
257040,Darren Thomas Ward,23.0,187.0,83.0,CAN,1992,Barcelona,no medal,2,2
257108,"John Caldwell ""Jack"" Wardrop",20.0,185.30803571428572,79.37983587338805,GBR,1952,Helsinki,no medal,3,2
257142,Fritz Kristian Warncke,16.0,181.0,70.0,NOR,1972,Munich,no medal,2,1
257144,Fritz Kristian Warncke,20.0,181.0,70.0,NOR,1976,Montreal,no medal,2,2
257906,Garrett Weber-Gale,23.0,188.0,82.0,USA,2008,Beijing,no medal,1,1
258315,"Karl Remigius ""Rmi"" Weil",20.0,185.30803571428572,79.37983587338805,FRA,1920,Antwerpen,no medal,2,1
258570,"Peter Johann ""Johnny"" Weissmuller",19.0,185.30803571428572,79.37983587338805,USA,1924,Paris,Gold,2,1
258574,"Peter Johann ""Johnny"" Weissmuller",23.0,185.30803571428572,79.37983587338805,USA,1928,Amsterdam,Gold,2,2
