,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
145307,Catherine Louise Machado,19.0,161.31335149863762,51.11940298507463,USA,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Women's Singles,no medal,1,1
146373,Karen Diane Magnussen (-Cella),15.0,160.0,53.0,CAN,1968,Grenoble,Figure Skating,Figure Skating Women's Singles,no medal,2,1
146374,Karen Diane Magnussen (-Cella),19.0,160.0,53.0,CAN,1972,Sapporo,Figure Skating,Figure Skating Women's Singles,Silver,2,2
147095,Kseniya Olegovna Makarova,17.0,162.0,50.0,RUS,2010,Vancouver,Figure Skating,Figure Skating Women's Singles,no medal,1,1
147643,Tatyana Malinina (-Skornyakova),25.0,160.0,48.0,UZB,1998,Nagano,Figure Skating,Figure Skating Women's Singles,no medal,2,1
147644,Tatyana Malinina (-Skornyakova),29.0,160.0,48.0,UZB,2002,Salt Lake City,Figure Skating,Figure Skating Women's Singles,no medal,2,2
148382,Halyna Maniachenko-Yefremenko,21.0,162.0,52.0,UKR,2002,Salt Lake City,Figure Skating,Figure Skating Women's Singles,no medal,2,1
148383,Halyna Maniachenko-Yefremenko,25.0,162.0,52.0,UKR,2006,Torino,Figure Skating,Figure Skating Women's Singles,no medal,2,2
148451,Elizabeth Ann Manley-Theobald,18.0,152.0,49.0,CAN,1984,Sarajevo,Figure Skating,Figure Skating Women's Singles,no medal,2,1
148452,Elizabeth Ann Manley-Theobald,22.0,152.0,49.0,CAN,1988,Calgary,Figure Skating,Figure Skating Women's Singles,Silver,2,2
149104,Valentina Marchei,27.0,161.0,51.11940298507463,ITA,2014,Sochi,Figure Skating,Figure Skating Women's Singles,no medal,1,1
150530,"Barbara ""Brbel"" Martin",19.0,161.31335149863762,51.11940298507463,GER,1960,Squaw Valley,Figure Skating,Figure Skating Women's Singles,no medal,1,1
151534,Gloria Mas Gil,19.0,161.31335149863762,51.11940298507463,ESP,1980,Lake Placid,Figure Skating,Figure Skating Women's Singles,no medal,1,1
153248,Fleur Maxwell,17.0,158.0,48.0,LUX,2006,Torino,Figure Skating,Figure Skating Women's Singles,no medal,1,1
154106,Jenna McCorkell,23.0,165.0,57.0,GBR,2010,Vancouver,Figure Skating,Figure Skating Women's Singles,no medal,2,1
154107,Jenna McCorkell,27.0,165.0,57.0,GBR,2014,Sochi,Figure Skating,Figure Skating Women's Singles,no medal,2,2
155831,Sarah Meier,17.0,164.0,49.0,SUI,2002,Salt Lake City,Figure Skating,Figure Skating Women's Singles,no medal,3,1
155832,Sarah Meier,21.0,164.0,49.0,SUI,2006,Torino,Figure Skating,Figure Skating Women's Singles,no medal,3,2
155833,Sarah Meier,25.0,164.0,49.0,SUI,2010,Vancouver,Figure Skating,Figure Skating Women's Singles,no medal,3,3
155949,"Kimberley Claire ""Kimmie"" Meissner",16.0,160.0,45.0,USA,2006,Torino,Figure Skating,Figure Skating Women's Singles,no medal,1,1
155987,Ma-Brnice Meit,19.0,168.0,51.11940298507463,FRA,2014,Sochi,Figure Skating,Figure Skating Women's Singles,no medal,1,1
157250,Gretchen Van Zandt Merrill (-Gay),22.0,161.31335149863762,51.11940298507463,USA,1948,Sankt Moritz,Figure Skating,Figure Skating Women's Singles,no medal,1,1
158779,Elisabeth Mikula,16.0,170.0,57.0,AUT,1968,Grenoble,Figure Skating,Figure Skating Women's Singles,no medal,1,1
161868,Gweneth Molony (-Henke),19.0,161.31335149863762,51.11940298507463,AUS,1952,Oslo,Figure Skating,Figure Skating Women's Singles,no medal,1,1
163991,"Suzanne ""Suzi"" Morrow (-Francis)",17.0,161.31335149863762,51.11940298507463,CAN,1948,Sankt Moritz,Figure Skating,Figure Skating Women's Singles,no medal,2,1
163993,"Suzanne ""Suzi"" Morrow (-Francis)",21.0,161.31335149863762,51.11940298507463,CAN,1952,Oslo,Figure Skating,Figure Skating Women's Singles,no medal,2,2
164964,Ethel M. Muckelt,38.0,161.31335149863762,51.11940298507463,GBR,1924,Chamonix,Figure Skating,Figure Skating Women's Singles,Bronze,3,2
166081,Kanako Murakami,19.0,162.0,51.11940298507463,JPN,2014,Sochi,Figure Skating,Figure Skating Women's Singles,no medal,1,1
166440,Suna Murray (-Gleason),16.0,153.0,50.0,USA,1972,Sapporo,Figure Skating,Figure Skating Women's Singles,no medal,1,1
167395,Mirai Aileen Nagasu,16.0,162.0,50.0,USA,2010,Vancouver,Figure Skating,Figure Skating Women's Singles,no medal,1,1
168684,Mayda Navarro,16.0,161.31335149863762,51.11940298507463,MEX,1992,Albertville,Figure Skating,Figure Skating Women's Singles,no medal,1,1
169277,Fiorella Negro Romerio Bonazzi,17.0,161.31335149863762,51.11940298507463,ITA,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Women's Singles,no medal,1,1
169817,Patricia Neske (-Barone),25.0,158.0,55.0,GER,1992,Albertville,Figure Skating,Figure Skating Women's Singles,no medal,1,1
169864,"Elisabeth ""Liesl"" Nestler",16.0,165.0,52.0,AUT,1968,Grenoble,Figure Skating,Figure Skating Women's Singles,no medal,1,1
171425,Lynn Nightingale (-Connor),19.0,161.31335149863762,51.11940298507463,CAN,1976,Innsbruck,Figure Skating,Figure Skating Women's Singles,no medal,1,1
171938,Ingeborg Margrethe Nilsson,27.0,161.31335149863762,51.11940298507463,NOR,1952,Oslo,Figure Skating,Figure Skating Women's Singles,no medal,1,1
173669,"Albertina Natalie ""Tina"" Noyes",15.0,160.0,52.0,USA,1964,Innsbruck,Figure Skating,Figure Skating Women's Singles,no medal,2,1
