,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
175729,Kazuyoshi Oimatsu,20.0,173.39762611275964,65.59163987138264,JPN,1932,Lake Placid,Figure Skating,Figure Skating Men's Singles,no medal,2,1
175730,Kazuyoshi Oimatsu,24.0,173.39762611275964,65.59163987138264,JPN,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Men's Singles,no medal,2,2
176217,Riccardo Olavarrieta Navarro,17.0,173.39762611275964,65.59163987138264,MEX,1988,Calgary,Figure Skating,Figure Skating Men's Singles,no medal,2,1
176218,Riccardo Olavarrieta Navarro,21.0,173.39762611275964,65.59163987138264,MEX,1992,Albertville,Figure Skating,Figure Skating Men's Singles,no medal,2,2
177652,Kurt Oppelt,19.0,173.39762611275964,65.59163987138264,AUT,1952,Oslo,Figure Skating,Figure Skating Men's Singles,no medal,2,1
178148,Brian Ernest Orser,22.0,170.0,61.0,CAN,1984,Sarajevo,Figure Skating,Figure Skating Men's Singles,Silver,2,1
178149,Brian Ernest Orser,26.0,170.0,61.0,CAN,1988,Calgary,Figure Skating,Figure Skating Men's Singles,Silver,2,2
179000,Jamal Aziz Othman,19.0,186.0,78.0,SUI,2006,Torino,Figure Skating,Figure Skating Men's Singles,no medal,1,1
179340,Haig Bertrand Oundjian,18.0,183.0,69.0,GBR,1968,Grenoble,Figure Skating,Figure Skating Men's Singles,no medal,2,1
179341,Haig Bertrand Oundjian,22.0,183.0,69.0,GBR,1972,Sapporo,Figure Skating,Figure Skating Men's Singles,no medal,2,2
179880,Franois Pache,19.0,173.39762611275964,65.59163987138264,SUI,1952,Oslo,Figure Skating,Figure Skating Men's Singles,no medal,2,1
179881,Franois Pache,23.0,173.39762611275964,65.59163987138264,SUI,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Men's Singles,no medal,2,2
180181,"John Ferguson ""Jack"" Page",21.983436853002072,173.39762611275964,65.59163987138264,GBR,1924,Chamonix,Figure Skating,Figure Skating Men's Singles,no medal,2,1
180183,"John Ferguson ""Jack"" Page",21.983436853002072,173.39762611275964,65.59163987138264,GBR,1928,Sankt Moritz,Figure Skating,Figure Skating Men's Singles,no medal,2,2
182419,Paul Bonifacio Parkinson,22.0,163.0,65.59163987138264,ITA,2014,Sochi,Figure Skating,Figure Skating Men's Singles,no medal,1,1
182856,Igor Anatolyevich Pashkevich,22.0,177.0,68.0,RUS,1994,Lillehammer,Figure Skating,Figure Skating Men's Singles,no medal,2,1
182857,Igor Anatolyevich Pashkevich,26.0,177.0,68.0,AZE,1998,Nagano,Figure Skating,Figure Skating Men's Singles,no medal,2,2
183045,Dnes Pataky,19.0,173.39762611275964,65.59163987138264,HUN,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Men's Singles,no medal,1,1
183104,Neil Paterson,23.0,170.0,75.0,CAN,1988,Calgary,Figure Skating,Figure Skating Men's Singles,no medal,1,1
184684,Philippe Pelissier,16.0,168.0,63.0,FRA,1964,Innsbruck,Figure Skating,Figure Skating Men's Singles,no medal,2,1
184685,Philippe Pelissier,20.0,168.0,63.0,FRA,1968,Grenoble,Figure Skating,Figure Skating Men's Singles,no medal,2,2
185234,Patrick Henri Pera,19.0,176.0,70.0,FRA,1968,Grenoble,Figure Skating,Figure Skating Men's Singles,Bronze,2,1
185235,Patrick Henri Pera,23.0,176.0,70.0,FRA,1972,Sapporo,Figure Skating,Figure Skating Men's Singles,Bronze,2,2
186935,John Misha Petkevich,18.0,174.0,69.0,USA,1968,Grenoble,Figure Skating,Figure Skating Men's Singles,no medal,2,1
186936,John Misha Petkevich,22.0,174.0,69.0,USA,1972,Sapporo,Figure Skating,Figure Skating Men's Singles,no medal,2,2
187000,Nicolas Petorin,19.0,162.0,50.0,FRA,1992,Albertville,Figure Skating,Figure Skating Men's Singles,no medal,1,1
187076,Viktor Vasylovych Petrenko,24.0,178.0,69.0,UKR,1994,Lillehammer,Figure Skating,Figure Skating Men's Singles,no medal,3,3
187753,Viktor Pfeifer,18.0,182.0,62.0,AUT,2006,Torino,Figure Skating,Figure Skating Men's Singles,no medal,3,1
187754,Viktor Pfeifer,22.0,182.0,62.0,AUT,2010,Vancouver,Figure Skating,Figure Skating Men's Singles,no medal,3,2
187755,Viktor Pfeifer,26.0,182.0,62.0,AUT,2014,Sochi,Figure Skating,Figure Skating Men's Singles,no medal,3,3
190226,Yevgeny Viktorovich Plyushchenko,19.0,178.0,72.0,RUS,2002,Salt Lake City,Figure Skating,Figure Skating Men's Singles,Silver,4,1
190227,Yevgeny Viktorovich Plyushchenko,23.0,178.0,72.0,RUS,2006,Torino,Figure Skating,Figure Skating Men's Singles,Gold,4,2
190228,Yevgeny Viktorovich Plyushchenko,27.0,178.0,72.0,RUS,2010,Vancouver,Figure Skating,Figure Skating Men's Singles,Silver,4,3
190283,Brian James Pockar,20.0,173.39762611275964,65.59163987138264,CAN,1980,Lake Placid,Figure Skating,Figure Skating Men's Singles,no medal,1,1
194939,Dino Edgardo Quattrocecere,20.0,184.0,86.0,RSA,1994,Lillehammer,Figure Skating,Figure Skating Men's Singles,no medal,1,1
195402,Edi Rada,25.0,173.39762611275964,65.59163987138264,AUT,1948,Sankt Moritz,Figure Skating,Figure Skating Men's Singles,Bronze,1,1
196179,Abzal Baurzhanovich Rakhimgaliyev,17.0,170.0,62.0,KAZ,2010,Vancouver,Figure Skating,Figure Skating Men's Singles,no medal,2,1
196180,Abzal Baurzhanovich Rakhimgaliyev,21.0,170.0,62.0,KAZ,2014,Sochi,Figure Skating,Figure Skating Men's Singles,no medal,2,2
197688,Francisco Javier  Raya Buenache ,22.0,174.0,67.0,ESP,2014,Sochi,Figure Skating,Figure Skating Men's Singles,no medal,1,1
198793,Erle Charles Reiter,19.0,173.39762611275964,65.59163987138264,USA,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Men's Singles,no medal,1,1
199611,Kevin Reynolds,23.0,177.0,60.0,CAN,2014,Sochi,Figure Skating,Figure Skating Men's Singles,no medal,1,1
199984,Alessandro Riccitelli,23.0,173.39762611275964,65.59163987138264,ITA,1988,Calgary,Figure Skating,Figure Skating Men's Singles,no medal,1,1
201174,Werner Rittberger,36.0,173.39762611275964,65.59163987138264,GER,1928,Sankt Moritz,Figure Skating,Figure Skating Men's Singles,no medal,1,1
201869,"Ronald Frederick ""Ronnie"" Robertson",18.0,173.39762611275964,65.59163987138264,USA,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Men's Singles,Silver,1,1
